author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,annotation,
Lan Pitts,Avengers Endgame's Joe Russo Playfully Responds To Martin Scorsese's MCU Criticism,"Martin Scorsese is one of the most prolific and acclaimed filmmakers in movie history and has become a legend in his own time. Joe Russo, one half of the Russo Brothers director team with his brother Anthony, has some of the biggest box office numbers under h…",https://www.gamespot.com/articles/avengers-endgames-joe-russo-playfully-responds-to-martin-scorseses-mcu-criticism/1100-6518760/,https://www.gamespot.com/a/uploads/screen_kubrick/1597/15976769/4213651-200708075155-russo-brothers-chris-evans.jpg,2023-10-30T15:57:00Z,"Martin Scorsese is one of the most prolific and acclaimed filmmakers in movie history and has become a legend in his own time. Joe Russo, one half of the Russo Brothers director team with his brother… [+1928 chars]",,GameSpot,9,
Steven Hyden,Steven Hyden's Favorite Music Of October 2023,"Via the artist/Merle Cooper


From The Rolling Stones to Dusk, these are some of the best releases of October, according to Uproxx Cultural Critic Steven Hyden.",https://uproxx.com/indie/steven-hyden-favorite-music-of-october-2023-dusk-bory/,https://uproxx.com/wp-content/uploads/2023/10/mannequin_pussy710x400.jpg?w=710,2023-10-30T15:52:41Z,"Every month, Uproxx cultural critic Steven Hyden makes an unranked list of his favorite music-related items released during this period songs, albums, books, films, you name it.
1. The Rolling Stone… [+6189 chars]",,UPROXX,6,
Evan Campbell,"Five Nights At Freddy's Movie Opens Massive, Breaks Box Office Records",Lackluster reviews and streaming day-and-date on Peacock didn't stop Five Nights at Freddy's from having a record-breaking weekend at the box office. The PG-13 horror movie--based on the video game franchise that debuted in 2014--premiered with the biggest Bl…,https://www.gamespot.com/articles/five-nights-at-freddys-movie-opens-massive-breaks-box-office-records/1100-6518755/,https://www.gamespot.com/a/uploads/screen_kubrick/1813/18138562/4211191-fnafmovie.png,2023-10-30T15:13:00Z,Lackluster reviews and streaming day-and-date on Peacock didn't stop Five Nights at Freddy's from having a record-breaking weekend at the box office. The PG-13 horror movie--based on the video game f… [+1443 chars],,GameSpot,8,
Zack Sharf,"""Avengers' Director Joe Russo Touts Box Office Over Oscars in Playful Jab at Martin Scorsese; Film Community Sounds Off: ""Rich A-hole Hack'","“Avengers” filmmaker Joe Russo has caused quite a stir on social media for posting a response to a recent TikTok featuring Martin Scorsese. The Oscar winner's daughter, Francesca, posted a TikTok this month in which Scorsese playfully directs his dog, Oscar. …",https://variety.com/2023/film/news/joe-russo-jabs-martin-scorsese-marvel-box-office-oscars-1235772887/,https://variety.com/wp-content/uploads/2023/10/Screen-Shot-2023-10-30-at-10.15.21-AM.png?w=1000&h=563&crop=1,2023-10-30T14:49:52Z,"“Avengers” filmmaker Joe Russo has caused quite a stir on social media for posting a response to a recent TikTok featuring Martin Scorsese. The Oscar winner's daughter, Francesca, posted a TikTok thi… [+4845 chars]",,Variety,9,
By The Associated Press,Celebrity birthdays for the week of Nov. 5-11,"Celebrity birthdays for the week of Nov. 5-11:
Nov. 5: Actor Harris Yulin (“The Hurricane,” “Scarface”) is 86. Actor Chris Robinson (“General Hospital”) is 85. Actor Elke Summer is 83. Singer Art Garfunkel is 82. Singer Peter Noone of Herman's Hermits is 76. …",https://www.sfgate.com/entertainment/article/celebrity-birthdays-for-the-week-of-nov-5-11-18456692.php,https://s.hdnux.com/photos/01/34/02/57/24128448/3/rawImage.jpg,2023-10-30T14:07:16Z,"En esta imagen proporcionada por Apple TV+, Robert De Niro, izquierda, y Leonardo DiCaprio en una escena de ""Killers of the Flower Moon"". (Melinda Sue Gordon/Apple TV+ vía AP)Melinda Sue Gordon/AP
C… [+6510 chars]",,SFGate,9,
Nic Austin,"Denver Film Festival 2023: ""All of Us Strangers"" Shines in Diverse LGBTQ+ Movie Lineup","This week marks the launch of the 46th Denver Film Festival, a cinematic extravaganza that's dedicated to delivering an exceptional array of diverse and groundbreaking films to audiences throughout the vibrant Mile High City. Running from November 3 to Novemb…",https://www.out.com/film/denver-film-festival-2023-all-of-us-strangers-shines-in-diverse-lgbtq-movie-lineup,https://www.out.com/media-library/almost-kiss-paul-mescal-andrew-scott-all-of-us-strangers-movie.jpg?id=50332247&width=1200&height=600&coordinates=0%2C0%2C0%2C78,2023-10-30T14:06:46Z,"This week marks the launch of the 46th Denver Film Festival, a cinematic extravaganza that's dedicated to delivering an exceptional array of diverse and groundbreaking films to audiences throughout t… [+3185 chars]",,Out.com,2,
MarkCassidy,"AVENGERS: ENDGAME Co-Director Joe Russo Takes A ""Box Office"" Dig At Martin Scorsese In TikTok Video","Avengers: Endgame co-director Joe Russo has responded to one of Martin Scorsese's TikTok videos with a little dig about the MCU's box office, and Film Twitter is up in arms...",https://comicbookmovie.com/avengers/avengers-endgame/avengers-endgame-co-director-joe-russo-takes-a-box-office-dig-at-martin-scorsese-in-tiktok-video-a207518,https://comicbookmovie.com/images/articles/banners/207518.jpg,2023-10-30T14:05:48Z,"Legendary Killers of the Flower Moon director Martin Scorsese has never minced words when it comes to his dislike for Marvel movies (the superhero genre overall, really), and this has not sat very we… [+2361 chars]",,CBM (Comic Book Movie),9,
Brandon Schreur,"Killers of the Flower Moon Editor on Inserted Intermissions: ""That's a Violation'","Thelma Schoonmaker speaks out against movie theaters that are inserting intermissions into Martin Scorsese's Killers of the Flower Moon.
The post Killers of the Flower Moon Editor on Inserted Intermissions: ""That's a Violation' appeared first on ComingSoon.ne…",https://www.comingsoon.net/movies/news/1382842-killers-of-the-flower-moon-editor-on-inserted-intermissions-thats-a-violation,"https://www.comingsoon.net/wp-content/uploads/sites/3/2023/10/Screenshot_2023-09-13_at_9.34.43_AM_1200x675-2023-10-30T094252.259.jpg?resize=1200,630",2023-10-30T13:48:33Z,"Thelma Schoonmaker is speaking out against theaters inserting intermissions into Martin Scorseses Killers of the Flower Moon.
According to a recent article by Variety, multiple theaters in both Euro… [+1717 chars]",,ComingSoon.net,7,
Lorenzo Marquez,"T LOunge for October 30th, 2023","Eve Restaurant at Ember Locke - London, United Kingdom Darlings, it's MONDAY, so let's spend the say somewhere that's green - but also somewhere that's inside, safely tucking us away from the scary ol' world. Pull up a seat and start kvetching. We're all here…",https://tomandlorenzo.com/2023/10/t-lounge-for-october-30th-2023/,https://tomandlorenzo.com/wp-content/uploads/2023/10/Bars-Restaurants-Cafes-10-30-2023-Tom-Lorenzo-Site-1.jpg,2023-10-30T13:30:03Z,"Posted on October 30, 2023
Pin
PinEve Restaurant at Ember Locke - London, United Kingdom
Darlings, it's MONDAY, so let's spend the say somewhere that's green - but also somewhere that's inside, sa… [+12516 chars]",,tomandlorenzo.com,3,
Jim Hemphill,Meet the Archivist Whose Obsession for Detail Matches Martin Scorsese's,"""Killers of the Flower Moon"" executive producer Marianne Bower talks about her decades-long role as Martin Scorsese's researcher and archivist and what it meant for the director's newest film.",https://www.indiewire.com/features/craft/killers-of-the-flower-moon-research-historically-accurate-scorsese-1234920570/,https://www.indiewire.com/wp-content/uploads/2023/10/MCDKIOF_PA011.jpg,2023-10-30T13:00:00Z,"When researcher and archivist Marianne Bower took a job organizing photos for Martin Scorsese""s 1999 documentary “My Voyage to Italy,” she thought the job might last for a couple of weeks. Twenty-fou… [+5136 chars]",,IndieWire,9,
Mathew Plale,"Martin Scorsese joins Letterboxd, already has the most followers","Martin Scorsese has joined Letterboxd, providing an insight into his filmography and hopefully some of his movie-watching habits.
The post Martin Scorsese joins Letterboxd, already has the most followers appeared first on JoBlo.",https://www.joblo.com/martin-scorsese-joins-letterboxd-already-has-the-most-followers/,https://www.joblo.com/wp-content/uploads/2023/10/Scorsese.jpg,2023-10-30T12:33:35Z,"Martin Scorsese has joined Letterboxd, providing an insight into his filmography and hopefully some of his movie-watching habits.Martin Scorsese may be one of the most respected filmmakers today (and… [+2319 chars]",,JoBlo.com,9,
mliss1578,"""Killers of the Flower Moon' Is Martin Scorsese's David Lynch Movie","In many cases, the Lynch influences in Killers show up as what might well be overt references.",https://decider.com/2023/10/30/killers-of-the-flower-moon-martin-scorsese-david-lynch/,https://decider.com/wp-content/uploads/2023/10/KILLERS-OF-THE-FLOWER-MOON-MULHOLLAND-DRIVE.jpg?quality=75&strip=all&w=1156,2023-10-30T12:30:00Z,"Before Killers of the Flower Moon, Id never really thought about whether Martin Scorsese ever wondered who killed Laura Palmer. 
Scorsese and David Lynch, who with Mark Frost co-created Laura Palmer… [+6438 chars]",,Decider,3,
whyevolutionistrue,Monday: Hili dialogue,"Welcome to Monday, October 30, 2023; in one week I'll be in Paris! It happens to be the worst food day of the year, National Candy Corn Day, celebrating what happens to be the world's worst confection: a triangular mixture of artificial flavoring, sugar, and …",https://whyevolutionistrue.com/2023/10/30/monday-hili-dialogue-436/,https://whyevolutionistrue.com/wp-content/uploads/2023/10/weit-cover-kindle-158s.png,2023-10-30T11:45:01Z,"Welcome to Monday, October 30, 2023; in one week I'll be in Paris! It happens to be the worst food day of the year, National Candy Corn Day, celebrating what happens to be the world's worst confectio… [+19301 chars]",,Whyevolutionistrue.com,10,unrelated?
Shannon Power,'Sound of Freedom' Studio's New Movie Makes Millions at Box Office,"""After Death"" examines what happens to people when they die, based on the testimonies of people who've had near death experiences.",https://www.newsweek.com/sound-freedom-studios-after-death-box-office-near-experience-1838995,https://d.newsweek.com/en/full/2290266/after-deatha.jpg,2023-10-30T11:44:12Z,"The follow-up movie from the studio that delivered Sound of Freedom has also proved a hit at the box office.
After Death, a feature-length documentary about what happens when we die, was the fourth-… [+2873 chars]",newsweek,Newsweek,8,
Anna Marie de la Fuente,"""Totem' by Lila Aviles and ""The Echo' by Tatiana Huezo Triumph at Mexico's Morelia Film Festival","Mexico's official entry to the Best International Feature Oscar race, Lila Aviles' “Totem,” and Tatiana Huezo's documentary “The Echo” (“El Eco”) snagged three prizes a piece at the Morelia International Film Festival (FICM), which wrapped Sunday, Oct. 29.   …",https://variety.com/2023/film/festivals/morelia-festival-tatiana-huezo-lila-aviles-1235772845/,https://variety.com/wp-content/uploads/2023/02/Totem.jpg?w=1000&h=563&crop=1,2023-10-30T11:09:53Z,"Mexico's official entry to the Best International Feature Oscar race, Lila Aviles' “Totem,” and Tatiana Huezo's documentary “The Echo” (“El Eco”) snagged three prizes a piece at the Morelia Internati… [+3889 chars]",,Variety,9,
Aisha Harris,'You talkin' to me?' How Scorsese's 'Killers of the Flower Moon' gets in your head,"In his elder years, Martin Scorsese seems to be questioning his complicity as a filmmaker. He's not renouncing his prior artistic choices but he's cognizant of how the world around him has shifted.",https://www.npr.org/2023/10/30/1209102999/killers-of-the-flower-moon-martin-scorsese,https://media.npr.org/assets/img/2023/10/27/killers_of_the_flower_moon_photo_0104_wide-e8940a605cea70bdcaa50e0a280d3c4ad4d4a001-s1400-c100.jpg,2023-10-30T09:00:14Z,"Lily Gladstone, left, plays Mollie Kyle in Killers of the Flower Moon, directed by Martin Scorsese, right.
Apple TV+
This essay contains spoilers for Killers of the Flower Moon.
A jarring cut to a… [+10829 chars]",,NPR,1,
polynucleotide,Weekend Box Office: Halloween weekend with Freddy,"Universal and Blumhouse""s #FiveNightsAtFreddys is off to a historic start at the domestic box office with $78 million, the biggest horror opening of 2023 to date https://t.co/nXTGpe09ne
— The Hollywood Reporter (@THR) October 29, 2023Five Nights at Freddys m…",https://ohnotheydidnt.livejournal.com/127132582.html,https://l-files.livejournal.net/og_image/3616053/496611?v=1698622702,2023-10-29T23:33:04Z,"Universal and Blumhouse""s #FiveNightsAtFreddys is off to a historic start at the domestic box office with $78 million, the biggest horror opening of 2023 to date https://t.co/nXTGpe09ne
— The Hollyw… [+1036 chars]",,Livejournal.com,8,
Shania Russell,Five Nights at Freddy's debuts to $78 million,"'Five Nights at Freddy's' tops the weekend box office with $78M, the biggest opening for a horror movie in 2023.",https://ew.com/movies/five-nights-at-freddys-tops-box-office-with-78-million/,https://ew.com/thmb/jsvPIeIPRTush_TelhW09TLix9c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Five-Night-At-Freddy-102923-770d2263f6a4444986d2ff5a8e3398e0.jpg,2023-10-29T22:25:26Z,"Beware animatronic animals this Halloween: the murderous cast of Five Nights at Freddy's is on the prowl after dominating the weekend box office.
The Blumhouse horror flick, which sees a troubled se… [+2566 chars]",entertainment-weekly,Entertainment Weekly,8,
Associated Press,"""Five Nights at Freddy's' notches $130M global debut","It hardly mattered that ""Five Nights at Freddy's"" was released simultaneously in theaters and on streaming this weekend.",https://www.bostonherald.com/2023/10/29/five-nights-at-freddys-notches-130m-global-debut/,https://www.bostonherald.com/wp-content/uploads/2023/10/AP23293724193749.jpg?w=1024&h=683,2023-10-29T21:58:42Z,"It hardly mattered that “Five Nights at Freddy's” was released simultaneously in theaters and on streaming this weekend.
Fans flocked to movie theaters across the country to see the scary video game… [+5200 chars]",,Boston Herald,8,
Associated Press,"Associated Press: ""Five Nights at Freddy's' surprises with $130 million global box-office debut","Fans flocked to movie theaters across the country to see the scary video game adaptation on the big screen, which made $78 million to top the North American box office, according to studio estimates Sunday.",https://www.marketwatch.com/story/five-nights-at-freddys-surprises-with-130-million-global-box-office-debut-3027bd91,https://images.mktw.net/im-877603/social,2023-10-29T21:54:59Z,It hardly mattered that Five Nights at Freddys was released simultaneously in theaters and on streaming this weekend. Fans flocked to movie theaters across the country to see the scary video game ada… [+5729 chars],,MarketWatch,8,
